ID Region,Region,ID Comuna,Comuna,ID Year,Year,ID Level 1,Level 1,ID Level 2,Level 2,Output
6,O'Higgins,259,Rancagua,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",824299584.0
6,O'Higgins,266,Requinoa,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",10766679.0
6,O'Higgins,266,Requinoa,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",10659778.0
6,O'Higgins,266,Requinoa,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",10760392.0
6,O'Higgins,266,Requinoa,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",10746774.0
6,O'Higgins,286,San Fernando,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",30295028.0
6,O'Higgins,304,Santa Cruz,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",149378.5
6,O'Higgins,304,Santa Cruz,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",677608.9375
6,O'Higgins,304,Santa Cruz,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",2294014.25
7,Maule,79,Curicó,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1659380.5
7,Maule,261,Rauco,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",99814.078125
7,Maule,289,San Javier,2007,2007,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",259804.015625
7,Maule,289,San Javier,2008,2008,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",315138.25
7,Maule,289,San Javier,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",299064.3125
7,Maule,289,San Javier,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",289220.8125
7,Maule,311,Talca,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",59835.46484375
7,Maule,311,Talca,2006,2006,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",241123.390625
7,Maule,311,Talca,2007,2007,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1232106.875
7,Maule,311,Talca,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",278959.15625
7,Maule,311,Talca,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",101699.3046875
7,Maule,311,Talca,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",7315664.0
7,Maule,311,Talca,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",38369400.0
7,Maule,311,Talca,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",30823770.0
7,Maule,332,Vichuquén,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",488895.15625
8,Biobío,49,Cobquecura,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",93157.015625
8,Biobío,64,Concepción,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",52963704.0
8,Biobío,64,Concepción,2006,2006,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",56050648.0
8,Biobío,64,Concepción,2007,2007,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",81849840.0
8,Biobío,64,Concepción,2008,2008,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",84468208.0
8,Biobío,64,Concepción,2009,2009,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",133392744.0
8,Biobío,64,Concepción,2010,2010,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",137498320.0
8,Biobío,64,Concepción,2011,2011,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",212523198.0
8,Biobío,64,Concepción,2012,2012,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",324544440.0
8,Biobío,64,Concepción,2013,2013,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",319220004.0
8,Biobío,64,Concepción,2014,2014,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",309553530.0
8,Biobío,152,Los Angeles,2005,2005,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",241133.34375
8,Biobío,152,Los Angeles,2006,2006,R,"Arts, entertainment and recreation",91,"Libraries, archives, museums and other cultural activities",1246323.75
